song_name,name,song_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
wdym,gianni & kyle,54476rOTjzF8srK5eq0Vsu,0,0.766,0.377,11,-10.332,1,0.331,0.453,1.10E-05,0.129,0.602,134.99,audio_features,54476rOTjzF8srK5eq0Vsu,spotify:track:54476rOTjzF8srK5eq0Vsu,https://api.spotify.com/v1/tracks/54476rOTjzF8srK5eq0Vsu,https://api.spotify.com/v1/audio-analysis/54476rOTjzF8srK5eq0Vsu,163556,4
Neighbors,J. Cole,0utlOiJy2weVl9WTkcEWHy,71,0.898,0.283,6,-12.335,0,0.356,0.319,0.000383,0.11,0.469,138.97,audio_features,0utlOiJy2weVl9WTkcEWHy,spotify:track:0utlOiJy2weVl9WTkcEWHy,https://api.spotify.com/v1/tracks/0utlOiJy2weVl9WTkcEWHy,https://api.spotify.com/v1/audio-analysis/0utlOiJy2weVl9WTkcEWHy,216520,4
Burden,Aminé,315erlcEdp5JqHqQQLQTiD,41,0.447,0.786,6,-3.355,0,0.286,0.202,0,0.119,0.908,142.264,audio_features,315erlcEdp5JqHqQQLQTiD,spotify:track:315erlcEdp5JqHqQQLQTiD,https://api.spotify.com/v1/tracks/315erlcEdp5JqHqQQLQTiD,https://api.spotify.com/v1/audio-analysis/315erlcEdp5JqHqQQLQTiD,210508,1
Burning Love,Elvis Presley,7zMUCLm1TN9o9JlLISztxO,76,0.66,0.748,2,-11.206,1,0.0284,0.0993,0.00585,0.283,0.972,143.549,audio_features,7zMUCLm1TN9o9JlLISztxO,spotify:track:7zMUCLm1TN9o9JlLISztxO,https://api.spotify.com/v1/tracks/7zMUCLm1TN9o9JlLISztxO,https://api.spotify.com/v1/audio-analysis/7zMUCLm1TN9o9JlLISztxO,170293,4
the remedy for a broken heart (why am I so in love),XXXTENTACION,4UKCKdYiLN6IMA5ZESUTL7,75,0.699,0.304,1,-11.192,1,0.0993,0.779,0.000993,0.137,0.271,119.705,audio_features,4UKCKdYiLN6IMA5ZESUTL7,spotify:track:4UKCKdYiLN6IMA5ZESUTL7,https://api.spotify.com/v1/tracks/4UKCKdYiLN6IMA5ZESUTL7,https://api.spotify.com/v1/audio-analysis/4UKCKdYiLN6IMA5ZESUTL7,160184,4
queen of broken hearts,blackbear,1YaLBadQjS701ZLZRGjPMX,0,0.716,0.711,0,-6.098,1,0.0769,0.00644,0,0.0783,0.827,97.016,audio_features,1YaLBadQjS701ZLZRGjPMX,spotify:track:1YaLBadQjS701ZLZRGjPMX,https://api.spotify.com/v1/tracks/1YaLBadQjS701ZLZRGjPMX,https://api.spotify.com/v1/audio-analysis/1YaLBadQjS701ZLZRGjPMX,171172,4
i feel bad,blackbear,1woVRb6gryP7hsMvBkiIzj,0,0.637,0.785,9,-3.382,0,0.0512,0.0201,0,0.333,0.923,144.053,audio_features,1woVRb6gryP7hsMvBkiIzj,spotify:track:1woVRb6gryP7hsMvBkiIzj,https://api.spotify.com/v1/tracks/1woVRb6gryP7hsMvBkiIzj,https://api.spotify.com/v1/audio-analysis/1woVRb6gryP7hsMvBkiIzj,175066,4
My Reality,Aminé,0Q9HulJie8Hxe2mx1q4nCy,33,0.38,0.877,5,-3.955,1,0.28,0.177,0,0.106,0.402,179.868,audio_features,0Q9HulJie8Hxe2mx1q4nCy,spotify:track:0Q9HulJie8Hxe2mx1q4nCy,https://api.spotify.com/v1/tracks/0Q9HulJie8Hxe2mx1q4nCy,https://api.spotify.com/v1/audio-analysis/0Q9HulJie8Hxe2mx1q4nCy,189456,4
My Life,NF,1kO0nC4VnEjMBeJZI7g2T2,58,0.719,0.569,5,-7.944,1,0.0463,0.272,0,0.0953,0.248,131.908,audio_features,1kO0nC4VnEjMBeJZI7g2T2,spotify:track:1kO0nC4VnEjMBeJZI7g2T2,https://api.spotify.com/v1/tracks/1kO0nC4VnEjMBeJZI7g2T2,https://api.spotify.com/v1/audio-analysis/1kO0nC4VnEjMBeJZI7g2T2,215600,4
48 Hours,Futuristic,1cgnY55455rStLkLYEgq0S,9,0.479,0.661,4,-6.002,1,0.359,0.518,0,0.176,0.653,89.423,audio_features,1cgnY55455rStLkLYEgq0S,spotify:track:1cgnY55455rStLkLYEgq0S,https://api.spotify.com/v1/tracks/1cgnY55455rStLkLYEgq0S,https://api.spotify.com/v1/audio-analysis/1cgnY55455rStLkLYEgq0S,181648,4
