song_name,name,song_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
One Week,Barenaked Ladies,1C0pmryC2MdXfa7MZ9uIrU,0,0.702,0.898,9,-6.003,1,0.0373,0.00854,0.000154,0.0917,0.731,112.845,audio_features,1C0pmryC2MdXfa7MZ9uIrU,spotify:track:1C0pmryC2MdXfa7MZ9uIrU,https://api.spotify.com/v1/tracks/1C0pmryC2MdXfa7MZ9uIrU,https://api.spotify.com/v1/audio-analysis/1C0pmryC2MdXfa7MZ9uIrU,169760,4
(I Just) Died In Your Arms,Cutting Crew,0YPXkQthLWrhNGoKTbwCJ8,64,0.632,0.727,11,-11.209,0,0.0438,0.0119,7.64e-05,0.0678,0.499,124.919,audio_features,0YPXkQthLWrhNGoKTbwCJ8,spotify:track:0YPXkQthLWrhNGoKTbwCJ8,https://api.spotify.com/v1/tracks/0YPXkQthLWrhNGoKTbwCJ8,https://api.spotify.com/v1/audio-analysis/0YPXkQthLWrhNGoKTbwCJ8,278627,4
Carry on Wayward Son,Kansas,4DMKwE2E2iYDKY01C335Uw,76,0.482,0.786,7,-5.735,1,0.032,0.00321,8.88e-05,0.446,0.793,126.755,audio_features,4DMKwE2E2iYDKY01C335Uw,spotify:track:4DMKwE2E2iYDKY01C335Uw,https://api.spotify.com/v1/tracks/4DMKwE2E2iYDKY01C335Uw,https://api.spotify.com/v1/audio-analysis/4DMKwE2E2iYDKY01C335Uw,323000,4
Sweet Child O' Mine,Guns N' Roses,1u1DBObkLFscNCpRpXbYb9,0,0.45,0.941,6,-4.725,1,0.0489,0.138,0.123,0.108,0.662,125.138,audio_features,1u1DBObkLFscNCpRpXbYb9,spotify:track:1u1DBObkLFscNCpRpXbYb9,https://api.spotify.com/v1/tracks/1u1DBObkLFscNCpRpXbYb9,https://api.spotify.com/v1/audio-analysis/1u1DBObkLFscNCpRpXbYb9,355267,4
Loser,Beck,5PntSbMHC1ud6Vvl8x56qd,71,0.654,0.611,2,-10.45,1,0.119,0.0337,0.000178,0.405,0.786,85.387,audio_features,5PntSbMHC1ud6Vvl8x56qd,spotify:track:5PntSbMHC1ud6Vvl8x56qd,https://api.spotify.com/v1/tracks/5PntSbMHC1ud6Vvl8x56qd,https://api.spotify.com/v1/audio-analysis/5PntSbMHC1ud6Vvl8x56qd,235000,4
The Distance,CAKE,0xMEF2WiqKWTIG7Krjungw,1,0.463,0.749,11,-8.118,0,0.0894,0.00795,0.00221,0.0558,0.888,183.054,audio_features,0xMEF2WiqKWTIG7Krjungw,spotify:track:0xMEF2WiqKWTIG7Krjungw,https://api.spotify.com/v1/tracks/0xMEF2WiqKWTIG7Krjungw,https://api.spotify.com/v1/audio-analysis/0xMEF2WiqKWTIG7Krjungw,179653,4
Fort Knox,GoldFish,2p8a7s3wwGmBsiBhAw3gvJ,33,0.676,0.689,10,-7.837,0,0.137,0.138,0.0,0.334,0.73,117.407,audio_features,2p8a7s3wwGmBsiBhAw3gvJ,spotify:track:2p8a7s3wwGmBsiBhAw3gvJ,https://api.spotify.com/v1/tracks/2p8a7s3wwGmBsiBhAw3gvJ,https://api.spotify.com/v1/audio-analysis/2p8a7s3wwGmBsiBhAw3gvJ,197787,4
You're the Voice,John Farnham,721DwsHOeKf7zHRABCR2rh,64,0.502,0.66,10,-11.852,1,0.0394,0.393,0.000138,0.608,0.722,85.209,audio_features,721DwsHOeKf7zHRABCR2rh,spotify:track:721DwsHOeKf7zHRABCR2rh,https://api.spotify.com/v1/tracks/721DwsHOeKf7zHRABCR2rh,https://api.spotify.com/v1/audio-analysis/721DwsHOeKf7zHRABCR2rh,300733,4
We Got The Beat,The Go-Go's,5kz9GDBTX846OXwqWoyKzF,59,0.587,0.994,2,-5.61,1,0.0451,0.157,0.0767,0.0319,0.482,151.938,audio_features,5kz9GDBTX846OXwqWoyKzF,spotify:track:5kz9GDBTX846OXwqWoyKzF,https://api.spotify.com/v1/tracks/5kz9GDBTX846OXwqWoyKzF,https://api.spotify.com/v1/audio-analysis/5kz9GDBTX846OXwqWoyKzF,153133,4
Careless Whisper,George Michael,2R7858bg0GHuBBxjTyOL7N,59,0.583,0.545,2,-11.698,0,0.0351,0.232,0.0,0.133,0.801,153.249,audio_features,2R7858bg0GHuBBxjTyOL7N,spotify:track:2R7858bg0GHuBBxjTyOL7N,https://api.spotify.com/v1/tracks/2R7858bg0GHuBBxjTyOL7N,https://api.spotify.com/v1/audio-analysis/2R7858bg0GHuBBxjTyOL7N,302600,4
In The Air Tonight - 2015 Remastered,Phil Collins,18AXbzPzBS8Y3AkgSxzJPb,78,0.446,0.239,0,-13.945,1,0.0316,0.551,4.1e-06,0.0697,0.298,189.507,audio_features,18AXbzPzBS8Y3AkgSxzJPb,spotify:track:18AXbzPzBS8Y3AkgSxzJPb,https://api.spotify.com/v1/tracks/18AXbzPzBS8Y3AkgSxzJPb,https://api.spotify.com/v1/audio-analysis/18AXbzPzBS8Y3AkgSxzJPb,336453,4
"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",Bill Medley,4BFMQ15vXr626UOoZL8bUI,59,0.7,0.781,6,-8.255,0,0.0507,0.0874,0.00342,0.059,0.385,108.695,audio_features,4BFMQ15vXr626UOoZL8bUI,spotify:track:4BFMQ15vXr626UOoZL8bUI,https://api.spotify.com/v1/tracks/4BFMQ15vXr626UOoZL8bUI,https://api.spotify.com/v1/audio-analysis/4BFMQ15vXr626UOoZL8bUI,289067,4
"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",Jennifer Warnes,4BFMQ15vXr626UOoZL8bUI,59,0.7,0.781,6,-8.255,0,0.0507,0.0874,0.00342,0.059,0.385,108.695,audio_features,4BFMQ15vXr626UOoZL8bUI,spotify:track:4BFMQ15vXr626UOoZL8bUI,https://api.spotify.com/v1/tracks/4BFMQ15vXr626UOoZL8bUI,https://api.spotify.com/v1/audio-analysis/4BFMQ15vXr626UOoZL8bUI,289067,4
I'm So Excited,The Pointer Sisters,1ot6jEe4w4hYnsOPjd3xKQ,73,0.59,0.868,5,-5.832,0,0.048,0.0962,0.000322,0.442,0.798,184.348,audio_features,1ot6jEe4w4hYnsOPjd3xKQ,spotify:track:1ot6jEe4w4hYnsOPjd3xKQ,https://api.spotify.com/v1/tracks/1ot6jEe4w4hYnsOPjd3xKQ,https://api.spotify.com/v1/audio-analysis/1ot6jEe4w4hYnsOPjd3xKQ,230640,4
Mr. Roboto,Styx,7C0rG4oWO7VeZcffyW1sK9,59,0.663,0.482,1,-12.093,1,0.0479,0.186,0.0,0.0521,0.314,144.13,audio_features,7C0rG4oWO7VeZcffyW1sK9,spotify:track:7C0rG4oWO7VeZcffyW1sK9,https://api.spotify.com/v1/tracks/7C0rG4oWO7VeZcffyW1sK9,https://api.spotify.com/v1/audio-analysis/7C0rG4oWO7VeZcffyW1sK9,328707,4
"Holding Out for a Hero - From ""Footloose"" Soundtrack",Bonnie Tyler,61UU9qfuXmdFyqCSE7v5gz,0,0.583,0.813,9,-10.997,0,0.0405,0.0189,2.06e-06,0.0875,0.879,149.59,audio_features,61UU9qfuXmdFyqCSE7v5gz,spotify:track:61UU9qfuXmdFyqCSE7v5gz,https://api.spotify.com/v1/tracks/61UU9qfuXmdFyqCSE7v5gz,https://api.spotify.com/v1/audio-analysis/61UU9qfuXmdFyqCSE7v5gz,348733,4
Everybody Have Fun Tonight,Wang Chung,6qBSGvyUzqNQv8XtnzCr9n,55,0.728,0.619,9,-12.265,1,0.0379,0.0884,8.44e-05,0.039,0.747,128.845,audio_features,6qBSGvyUzqNQv8XtnzCr9n,spotify:track:6qBSGvyUzqNQv8XtnzCr9n,https://api.spotify.com/v1/tracks/6qBSGvyUzqNQv8XtnzCr9n,https://api.spotify.com/v1/audio-analysis/6qBSGvyUzqNQv8XtnzCr9n,287360,4
Whip It,DEVO,4sscDOZCkbLSlDqcCgUJnX,63,0.78,0.869,9,-7.255,1,0.0517,0.0744,0.004,0.0621,0.957,157.902,audio_features,4sscDOZCkbLSlDqcCgUJnX,spotify:track:4sscDOZCkbLSlDqcCgUJnX,https://api.spotify.com/v1/tracks/4sscDOZCkbLSlDqcCgUJnX,https://api.spotify.com/v1/audio-analysis/4sscDOZCkbLSlDqcCgUJnX,161133,4
Who Can It Be Now?,Men At Work,5rfJ2Bq2PEL8yBjZLzouEu,78,0.805,0.479,4,-14.734,1,0.0436,0.0627,0.000143,0.104,0.962,128.411,audio_features,5rfJ2Bq2PEL8yBjZLzouEu,spotify:track:5rfJ2Bq2PEL8yBjZLzouEu,https://api.spotify.com/v1/tracks/5rfJ2Bq2PEL8yBjZLzouEu,https://api.spotify.com/v1/audio-analysis/5rfJ2Bq2PEL8yBjZLzouEu,201293,4
Maniac,Michael Sembello,3krYebqW8kK4xgG8vtTD3T,0,0.611,0.704,3,-6.708,0,0.049,0.0553,0.0,0.0694,0.731,156.69,audio_features,3krYebqW8kK4xgG8vtTD3T,spotify:track:3krYebqW8kK4xgG8vtTD3T,https://api.spotify.com/v1/tracks/3krYebqW8kK4xgG8vtTD3T,https://api.spotify.com/v1/audio-analysis/3krYebqW8kK4xgG8vtTD3T,257933,4
"Mighty Wings - From ""Top Gun"" Original Soundtrack",Cheap Trick,4rETMmjiQ7NL0KFCIZa5oV,57,0.465,0.939,5,-7.793,1,0.0494,0.0384,0.0,0.181,0.805,158.44,audio_features,4rETMmjiQ7NL0KFCIZa5oV,spotify:track:4rETMmjiQ7NL0KFCIZa5oV,https://api.spotify.com/v1/tracks/4rETMmjiQ7NL0KFCIZa5oV,https://api.spotify.com/v1/audio-analysis/4rETMmjiQ7NL0KFCIZa5oV,231080,4
Conga!,Miami Sound Machine,0KxTWgl64TNOQXiGFJYc6t,55,0.782,0.873,2,-7.157,1,0.0475,0.141,0.0571,0.112,0.858,123.181,audio_features,0KxTWgl64TNOQXiGFJYc6t,spotify:track:0KxTWgl64TNOQXiGFJYc6t,https://api.spotify.com/v1/tracks/0KxTWgl64TNOQXiGFJYc6t,https://api.spotify.com/v1/audio-analysis/0KxTWgl64TNOQXiGFJYc6t,252933,4
All Night Long (All Night) - Single Version,Lionel Richie,2Wb9ejnmy27DUTUe9YF5Ew,58,0.739,0.576,1,-12.024,1,0.0471,0.123,0.00204,0.0482,0.78,108.809,audio_features,2Wb9ejnmy27DUTUe9YF5Ew,spotify:track:2Wb9ejnmy27DUTUe9YF5Ew,https://api.spotify.com/v1/tracks/2Wb9ejnmy27DUTUe9YF5Ew,https://api.spotify.com/v1/audio-analysis/2Wb9ejnmy27DUTUe9YF5Ew,260427,4
Heat of the Battle,Stan Bush,4hirSgiE0OEeJJSQS49qcd,21,0.626,0.929,0,-2.462,0,0.0374,0.0289,0.000701,0.369,0.596,120.062,audio_features,4hirSgiE0OEeJJSQS49qcd,spotify:track:4hirSgiE0OEeJJSQS49qcd,https://api.spotify.com/v1/tracks/4hirSgiE0OEeJJSQS49qcd,https://api.spotify.com/v1/audio-analysis/4hirSgiE0OEeJJSQS49qcd,211280,4
We Didn't Start the Fire,Billy Joel,3Cx4yrFaX8CeHwBMReOWXI,78,0.712,0.967,7,-5.206,1,0.047,0.0771,0.0,0.356,0.895,145.024,audio_features,3Cx4yrFaX8CeHwBMReOWXI,spotify:track:3Cx4yrFaX8CeHwBMReOWXI,https://api.spotify.com/v1/tracks/3Cx4yrFaX8CeHwBMReOWXI,https://api.spotify.com/v1/audio-analysis/3Cx4yrFaX8CeHwBMReOWXI,287733,4
Centerfold,The J. Geils Band,1ynmMEK1fkyiZ6Z6F3ThEt,72,0.653,0.677,0,-12.244,1,0.0396,0.249,0.0,0.403,0.888,114.374,audio_features,1ynmMEK1fkyiZ6Z6F3ThEt,spotify:track:1ynmMEK1fkyiZ6Z6F3ThEt,https://api.spotify.com/v1/tracks/1ynmMEK1fkyiZ6Z6F3ThEt,https://api.spotify.com/v1/audio-analysis/1ynmMEK1fkyiZ6Z6F3ThEt,216533,4
